iter	Passed	Remaining
0	145	145504
1	150	74908
2	157	52232
3	162	40571
4	169	33745
5	175	29126
6	179	25452
7	185	23052
8	192	21174
9	198	19658
10	206	18552
11	212	17480
12	218	16622
13	226	15961
14	232	15266
15	238	14666
16	244	14159
17	250	13663
18	257	13309
19	265	13017
20	273	12739
21	288	12815
22	300	12757
23	305	12427
24	317	12370
25	322	12093
26	331	11948
27	336	11687
28	343	11508
29	348	11263
30	353	11039
31	362	10963
32	367	10783
33	378	10752
34	383	10578
35	392	10521
36	401	10438
37	407	10322
38	414	10214
39	421	10117
40	427	10009
41	435	9929
42	440	9812
43	446	9704
44	453	9620
45	459	9531
46	466	9463
47	472	9368
48	477	9260
49	483	9193
50	491	9140
51	497	9075
52	503	8998
53	512	8972
54	518	8912
55	524	8843
56	531	8793
57	537	8728
58	543	8663
59	549	8607
60	554	8543
61	561	8492
62	566	8427
63	571	8364
64	578	8321
65	583	8262
66	588	8199
67	595	8165
68	600	8103
69	606	8060
70	612	8015
71	618	7974
72	626	7954
73	631	7903
74	637	7868
75	644	7839
76	650	7793
77	657	7773
78	662	7728
79	669	7697
80	675	7664
81	680	7622
82	688	7604
83	693	7558
84	698	7514
85	704	7487
86	709	7446
87	715	7412
88	722	7391
89	727	7354
90	734	7333
91	738	7292
92	744	7259
93	750	7238
94	755	7201
95	761	7174
96	768	7154
97	774	7124
98	781	7109
99	786	7074
100	791	7043
101	798	7031
102	804	7002
103	809	6976
104	816	6955
105	820	6924
106	827	6906
107	833	6881
108	837	6850
109	845	6837
110	849	6806
111	855	6778
112	861	6763
113	866	6732
114	871	6709
115	878	6691
116	883	6664
117	890	6656
118	895	6632
119	902	6617
120	909	6607
121	915	6592
122	923	6582
123	929	6569
124	937	6564
125	943	6543
126	947	6515
127	954	6500
128	959	6475
129	964	6456
130	971	6442
131	976	6420
132	982	6406
133	987	6382
134	992	6358
135	997	6336
136	1002	6314
137	1007	6291
138	1013	6280
139	1018	6256
140	1024	6241
141	1047	6328
142	1057	6337
143	1063	6319
144	1067	6297
145	1073	6279
146	1079	6265
147	1085	6246
148	1091	6231
149	1096	6214
150	1101	6196
151	1108	6183
152	1113	6165
153	1118	6146
154	1124	6131
155	1129	6112
156	1134	6092
157	1140	6078
158	1145	6059
